itemid,cf_score,cb_score,pop_score,hybrid_score,title
573a4a4e-443f-4416-a736-db1b6fc5b1a8,0.005183503497391939,5.0,0.2857142857142857,1.5597346088915531,Peaky Blinders
fd687094-ef01-40fa-9cac-54769da90ca5,0.021342946216464043,4.626306826688829,0.7857142857142857,1.5557063782577378,Up
cea72a9a-52f1-4055-b1d0-28b0503446d3,0.022020123898983,4.597644023914241,0.7857142857142857,1.547446126266621,Jojo Rabbit
d096d837-811c-4e08-8cec-9b38a81a4bf6,0.01294388435781002,4.775409785370201,0.35714285714285715,1.5105234492185367,Breaking Bad
65a297e8-17c1-4dcd-a074-812852424afe,0.009466715157032013,4.772067171244913,0.35714285714285715,1.5077820803805613,Friends
8f384ca0-e5b0-41e9-ae2e-89daf76a0c90,0.010812989436089993,4.7234370717237395,0.2857142857142857,1.479580473378024,The Handmaid's Tale
6e9cc09d-332c-46e2-97c8-815cd0332182,0.0040776608511805534,4.808903824872765,0.14285714285714285,1.4732814064588482,Fargo
3593db7f-8e04-47eb-82ef-a9051589ce37,0.007123835384845734,4.610217243267416,0.2857142857142857,1.4437699478155048,Stranger Things
d8a33dee-fffc-46ae-9905-6a4241b7ca2a,0.0043939207680523396,4.690167069126961,0.14285714285714285,1.4378185096935427,The Sopranos
8a5a6d13-da08-4d60-a35e-ace82f174244,0.0057927947491407394,4.667660445438253,0.14285714285714285,1.4317659595774748,Succession
